"base_oecd","base_countr","gender","basc_acadag","cluster6","count"
"Agricultural_Sciences","Australia","unkn","10-14","HG",3
"Agricultural_Sciences","Australia","unkn","10-14","TP",2
"Agricultural_Sciences","Austria","fem","10-14","BT",5
"Agricultural_Sciences","Austria","fem","10-14","LW",4
"Agricultural_Sciences","Austria","fem","10-14","ML",9
"Agricultural_Sciences","Austria","fem","10-14","MH",4
"Agricultural_Sciences","Austria","fem","10-14","HG",6
"Agricultural_Sciences","Austria","fem","10-14","TP",8
"Agricultural_Sciences","Austria","mal","10-14","BT",17
"Agricultural_Sciences","Austria","mal","10-14","LW",11
"Agricultural_Sciences","Austria","mal","10-14","ML",10
"Agricultural_Sciences","Austria","mal","10-14","MH",4
"Agricultural_Sciences","Austria","mal","10-14","HG",11
"Agricultural_Sciences","Austria","mal","10-14","TP",8
"Agricultural_Sciences","Austria","unkn","10-14","TP",1
"Agricultural_Sciences","Azerbaijan","mal","10-14","LW",1
"Agricultural_Sciences","Bangladesh","fem","10-14","BT",2
"Agricultural_Sciences","Bangladesh","fem","10-14","MH",1
"Agricultural_Sciences","Bangladesh","fem","10-14","HG",1
"Agricultural_Sciences","Bangladesh","fem","10-14","TP",1
"Agricultural_Sciences","Bangladesh","mal","10-14","BT",26
"Agricultural_Sciences","Bangladesh","mal","10-14","LW",3
"Agricultural_Sciences","Bangladesh","mal","10-14","ML",11
"Agricultural_Sciences","Bangladesh","mal","10-14","MH",8
"Agricultural_Sciences","Bangladesh","mal","10-14","HG",4
"Agricultural_Sciences","Bangladesh","mal","10-14","TP",3
"Agricultural_Sciences","Bangladesh","unkn","10-14","BT",14
"Agricultural_Sciences","Bangladesh","unkn","10-14","LW",4
"Agricultural_Sciences","Bangladesh","unkn","10-14","ML",1
"Agricultural_Sciences","Belarus","fem","10-14","BT",2
"Agricultural_Sciences","Belarus","fem","10-14","LW",3
"Agricultural_Sciences","Belarus","fem","10-14","ML",1
"Agricultural_Sciences","Belgium","fem","10-14","BT",8
"Agricultural_Sciences","Belgium","fem","10-14","LW",4
"Agricultural_Sciences","Belgium","fem","10-14","ML",6
"Agricultural_Sciences","Belgium","fem","10-14","MH",7
"Agricultural_Sciences","Belgium","fem","10-14","HG",15
"Agricultural_Sciences","Belgium","fem","10-14","TP",28
"Agricultural_Sciences","Belgium","mal","10-14","BT",12
"Agricultural_Sciences","Belgium","mal","10-14","LW",12
"Agricultural_Sciences","Belgium","mal","10-14","ML",8
"Agricultural_Sciences","Belgium","mal","10-14","MH",3
"Agricultural_Sciences","Belgium","mal","10-14","HG",25
"Agricultural_Sciences","Belgium","mal","10-14","TP",23
"Agricultural_Sciences","Belgium","unkn","10-14","BT",8
"Agricultural_Sciences","Belgium","unkn","10-14","LW",3
"Agricultural_Sciences","Belgium","unkn","10-14","ML",1
"Agricultural_Sciences","Belgium","unkn","10-14","MH",1
"Agricultural_Sciences","Belgium","unkn","10-14","TP",1
"Agricultural_Sciences","Belize","fem","10-14","BT",2
"Agricultural_Sciences","Belize","fem","10-14","ML",1
"Agricultural_Sciences","Belize","fem","10-14","MH",2
"Agricultural_Sciences","Belize","fem","10-14","HG",2
"Agricultural_Sciences","Belize","mal","10-14","BT",6
"Agricultural_Sciences","Belize","mal","10-14","ML",3
"Agricultural_Sciences","Belize","mal","10-14","HG",2
"Agricultural_Sciences","Belize","unkn","10-14","BT",1
"Agricultural_Sciences","Belize","unkn","10-14","HG",1
"Agricultural_Sciences","Benin","fem","10-14","ML",3
"Agricultural_Sciences","Benin","fem","10-14","MH",2
"Agricultural_Sciences","Benin","mal","10-14","BT",4
"Agricultural_Sciences","Benin","mal","10-14","LW",4
"Agricultural_Sciences","Benin","mal","10-14","ML",4
"Agricultural_Sciences","Benin","mal","10-14","MH",3
"Agricultural_Sciences","Benin","mal","10-14","HG",3
"Agricultural_Sciences","Benin","mal","10-14","TP",2
"Agricultural_Sciences","Benin","unkn","10-14","BT",1
"Agricultural_Sciences","Benin","unkn","10-14","LW",1
"Agricultural_Sciences","Benin","unkn","10-14","ML",1
"Agricultural_Sciences","Benin","unkn","10-14","MH",1
"Agricultural_Sciences","Benin","unkn","10-14","HG",2
"Agricultural_Sciences","Bosnia and Herzegovina","fem","10-14","BT",1
"Agricultural_Sciences","Bosnia and Herzegovina","fem","10-14","LW",2
"Agricultural_Sciences","Bosnia and Herzegovina","mal","10-14","BT",1
"Agricultural_Sciences","Botswana","fem","10-14","ML",1
"Agricultural_Sciences","Botswana","mal","10-14","MH",1
"Agricultural_Sciences","Botswana","unkn","10-14","BT",4
"Agricultural_Sciences","Brazil","fem","10-14","BT",491
"Agricultural_Sciences","Brazil","fem","10-14","LW",251
"Agricultural_Sciences","Brazil","fem","10-14","ML",324
"Agricultural_Sciences","Brazil","fem","10-14","MH",189
"Agricultural_Sciences","Brazil","fem","10-14","HG",247
"Agricultural_Sciences","Brazil","fem","10-14","TP",203
"Agricultural_Sciences","Brazil","mal","10-14","BT",536
"Agricultural_Sciences","Brazil","mal","10-14","LW",294
"Agricultural_Sciences","Brazil","mal","10-14","ML",350
"Agricultural_Sciences","Brazil","mal","10-14","MH",256
"Agricultural_Sciences","Brazil","mal","10-14","HG",366
"Agricultural_Sciences","Brazil","mal","10-14","TP",385
"Agricultural_Sciences","Brazil","unkn","10-14","BT",101
"Agricultural_Sciences","Brazil","unkn","10-14","LW",44
"Agricultural_Sciences","Brazil","unkn","10-14","ML",56
"Agricultural_Sciences","Brazil","unkn","10-14","MH",23
"Agricultural_Sciences","Brazil","unkn","10-14","HG",43
"Agricultural_Sciences","Brazil","unkn","10-14","TP",42
"Agricultural_Sciences","Bulgaria","fem","10-14","BT",9
"Agricultural_Sciences","Bulgaria","fem","10-14","LW",11
"Agricultural_Sciences","Bulgaria","fem","10-14","ML",1
"Agricultural_Sciences","Bulgaria","fem","10-14","MH",3
"Agricultural_Sciences","Bulgaria","fem","10-14","HG",4
"Agricultural_Sciences","Bulgaria","mal","10-14","BT",9
"Agricultural_Sciences","Bulgaria","mal","10-14","LW",10
"Agricultural_Sciences","Bulgaria","mal","10-14","ML",3
"Agricultural_Sciences","Bulgaria","mal","10-14","MH",5
"Agricultural_Sciences","Bulgaria","mal","10-14","HG",4
"Agricultural_Sciences","Bulgaria","mal","10-14","TP",1
"Agricultural_Sciences","Bulgaria","unkn","10-14","BT",2
"Agricultural_Sciences","Bulgaria","unkn","10-14","LW",2
"Agricultural_Sciences","Bulgaria","unkn","10-14","ML",1
"Agricultural_Sciences","Bulgaria","unkn","10-14","MH",1
"Agricultural_Sciences","Burkina Faso","fem","10-14","BT",2
"Agricultural_Sciences","Burkina Faso","fem","10-14","LW",1
"Agricultural_Sciences","Burkina Faso","fem","10-14","MH",1
"Agricultural_Sciences","Burkina Faso","fem","10-14","HG",1
"Agricultural_Sciences","Burkina Faso","mal","10-14","BT",3
"Agricultural_Sciences","Burkina Faso","mal","10-14","LW",1
"Agricultural_Sciences","Burkina Faso","mal","10-14","ML",2
"Agricultural_Sciences","Burkina Faso","mal","10-14","HG",1
"Agricultural_Sciences","Burundi","fem","10-14","BT",1
"Agricultural_Sciences","Burundi","mal","10-14","BT",1
"Agricultural_Sciences","Cameroon","fem","10-14","BT",1
"Agricultural_Sciences","Cameroon","fem","10-14","LW",2
"Agricultural_Sciences","Cameroon","mal","10-14","BT",8
"Agricultural_Sciences","Cameroon","mal","10-14","LW",3
"Agricultural_Sciences","Cameroon","mal","10-14","ML",3
"Agricultural_Sciences","Cameroon","unkn","10-14","BT",2
"Agricultural_Sciences","Canada","fem","10-14","BT",46
"Agricultural_Sciences","Canada","fem","10-14","LW",25
"Agricultural_Sciences","Canada","fem","10-14","ML",32
"Agricultural_Sciences","Canada","fem","10-14","MH",23
"Agricultural_Sciences","Canada","fem","10-14","HG",13
"Agricultural_Sciences","Canada","fem","10-14","TP",17
"Agricultural_Sciences","Canada","mal","10-14","BT",62
"Agricultural_Sciences","Canada","mal","10-14","LW",39
"Agricultural_Sciences","Canada","mal","10-14","ML",31
"Agricultural_Sciences","Canada","mal","10-14","MH",23
"Agricultural_Sciences","Canada","mal","10-14","HG",27
"Agricultural_Sciences","Canada","mal","10-14","TP",31
"Agricultural_Sciences","Canada","unkn","10-14","BT",9
"Agricultural_Sciences","Canada","unkn","10-14","LW",3
"Agricultural_Sciences","Canada","unkn","10-14","ML",3
"Agricultural_Sciences","Canada","unkn","10-14","MH",3
"Agricultural_Sciences","Canada","unkn","10-14","HG",1
"Agricultural_Sciences","Canada","unkn","10-14","TP",1
"Agricultural_Sciences","Chad","mal","10-14","BT",1
"Agricultural_Sciences","Chile","fem","10-14","BT",16
"Agricultural_Sciences","Chile","fem","10-14","LW",13
"Agricultural_Sciences","Chile","fem","10-14","ML",9
"Agricultural_Sciences","Chile","fem","10-14","MH",6
"Agricultural_Sciences","Chile","fem","10-14","HG",8
"Agricultural_Sciences","Chile","fem","10-14","TP",5
"Agricultural_Sciences","Chile","mal","10-14","BT",23
"Agricultural_Sciences","Chile","mal","10-14","LW",22
"Agricultural_Sciences","Chile","mal","10-14","ML",9
"Agricultural_Sciences","Chile","mal","10-14","MH",15
"Agricultural_Sciences","Chile","mal","10-14","HG",12
"Agricultural_Sciences","Chile","mal","10-14","TP",7
"Agricultural_Sciences","Chile","unkn","10-14","BT",8
"Agricultural_Sciences","Chile","unkn","10-14","LW",3
"Agricultural_Sciences","China","fem","10-14","BT",83
"Agricultural_Sciences","China","fem","10-14","LW",53
"Agricultural_Sciences","China","fem","10-14","ML",54
"Agricultural_Sciences","China","fem","10-14","MH",37
"Agricultural_Sciences","China","fem","10-14","HG",56
"Agricultural_Sciences","China","fem","10-14","TP",87
"Agricultural_Sciences","China","mal","10-14","BT",161
"Agricultural_Sciences","China","mal","10-14","LW",96
"Agricultural_Sciences","China","mal","10-14","ML",77
"Agricultural_Sciences","China","mal","10-14","MH",79
"Agricultural_Sciences","China","mal","10-14","HG",129
"Agricultural_Sciences","China","mal","10-14","TP",194
"Agricultural_Sciences","China","unkn","10-14","BT",90
"Agricultural_Sciences","China","unkn","10-14","LW",107
"Agricultural_Sciences","China","unkn","10-14","ML",74
"Agricultural_Sciences","China","unkn","10-14","MH",65
"Agricultural_Sciences","China","unkn","10-14","HG",108
"Agricultural_Sciences","China","unkn","10-14","TP",151
"Agricultural_Sciences","Colombia","fem","10-14","BT",7
"Agricultural_Sciences","Colombia","fem","10-14","LW",9
"Agricultural_Sciences","Colombia","fem","10-14","ML",7
"Agricultural_Sciences","Colombia","fem","10-14","HG",5
"Agricultural_Sciences","Colombia","fem","10-14","TP",2
"Agricultural_Sciences","Colombia","mal","10-14","BT",26
"Agricultural_Sciences","Colombia","mal","10-14","LW",15
"Agricultural_Sciences","Colombia","mal","10-14","ML",15
"Agricultural_Sciences","Colombia","mal","10-14","MH",6
"Agricultural_Sciences","Colombia","mal","10-14","HG",11
"Agricultural_Sciences","Colombia","mal","10-14","TP",6
"Agricultural_Sciences","Colombia","unkn","10-14","BT",5
"Agricultural_Sciences","Colombia","unkn","10-14","LW",4
"Agricultural_Sciences","Colombia","unkn","10-14","ML",1
"Agricultural_Sciences","Colombia","unkn","10-14","MH",1
"Agricultural_Sciences","Colombia","unkn","10-14","HG",1
"Agricultural_Sciences","Costa Rica","fem","10-14","BT",6
"Agricultural_Sciences","Costa Rica","fem","10-14","LW",1
"Agricultural_Sciences","Costa Rica","fem","10-14","ML",1
"Agricultural_Sciences","Costa Rica","fem","10-14","MH",2
"Agricultural_Sciences","Costa Rica","fem","10-14","TP",1
"Agricultural_Sciences","Costa Rica","mal","10-14","BT",9
"Agricultural_Sciences","Costa Rica","mal","10-14","LW",3
"Agricultural_Sciences","Costa Rica","mal","10-14","ML",4
"Agricultural_Sciences","Costa Rica","mal","10-14","HG",2
"Agricultural_Sciences","Croatia","fem","10-14","BT",13
"Agricultural_Sciences","Croatia","fem","10-14","LW",20
"Agricultural_Sciences","Croatia","fem","10-14","ML",5
"Agricultural_Sciences","Croatia","fem","10-14","MH",13
"Agricultural_Sciences","Croatia","fem","10-14","HG",8
"Agricultural_Sciences","Croatia","fem","10-14","TP",15
"Agricultural_Sciences","Croatia","mal","10-14","BT",10
"Agricultural_Sciences","Croatia","mal","10-14","LW",19
"Agricultural_Sciences","Croatia","mal","10-14","ML",6
"Agricultural_Sciences","Croatia","mal","10-14","MH",15
"Agricultural_Sciences","Croatia","mal","10-14","HG",15
"Agricultural_Sciences","Croatia","mal","10-14","TP",14
"Agricultural_Sciences","Croatia","unkn","10-14","BT",2
"Agricultural_Sciences","Croatia","unkn","10-14","TP",1
"Agricultural_Sciences","Cuba","fem","10-14","BT",5
"Agricultural_Sciences","Cuba","fem","10-14","LW",2
"Agricultural_Sciences","Cuba","fem","10-14","MH",1
"Agricultural_Sciences","Cuba","mal","10-14","BT",6
"Agricultural_Sciences","Cuba","mal","10-14","LW",4
"Agricultural_Sciences","Cuba","mal","10-14","ML",1
"Agricultural_Sciences","Cuba","mal","10-14","HG",1
"Agricultural_Sciences","Cuba","mal","10-14","TP",1
"Agricultural_Sciences","Cuba","unkn","10-14","BT",5
"Agricultural_Sciences","Cuba","unkn","10-14","ML",1
"Agricultural_Sciences","Cuba","unkn","10-14","MH",1
"Agricultural_Sciences","Cyprus","mal","10-14","BT",2
"Agricultural_Sciences","Cyprus","unkn","10-14","BT",1
"Agricultural_Sciences","Czechia","fem","10-14","BT",28
"Agricultural_Sciences","Czechia","fem","10-14","LW",46
"Agricultural_Sciences","Czechia","fem","10-14","ML",8
"Agricultural_Sciences","Czechia","fem","10-14","MH",3
"Agricultural_Sciences","Czechia","fem","10-14","HG",16
"Agricultural_Sciences","Czechia","fem","10-14","TP",14
"Agricultural_Sciences","Czechia","mal","10-14","BT",43
"Agricultural_Sciences","Czechia","mal","10-14","LW",46
"Agricultural_Sciences","Czechia","mal","10-14","ML",10
"Agricultural_Sciences","Czechia","mal","10-14","MH",10
"Agricultural_Sciences","Czechia","mal","10-14","HG",31
"Agricultural_Sciences","Czechia","mal","10-14","TP",29
"Agricultural_Sciences","Czechia","unkn","10-14","BT",3
"Agricultural_Sciences","Czechia","unkn","10-14","LW",8
"Agricultural_Sciences","Czechia","unkn","10-14","ML",2
"Agricultural_Sciences","Czechia","unkn","10-14","MH",1
"Agricultural_Sciences","Czechia","unkn","10-14","TP",3
"Agricultural_Sciences","Democratic Republic of the Congo","mal","10-14","BT",1
"Agricultural_Sciences","Denmark","fem","10-14","BT",17
"Agricultural_Sciences","Denmark","fem","10-14","LW",13
"Agricultural_Sciences","Denmark","fem","10-14","ML",7
"Agricultural_Sciences","Denmark","fem","10-14","MH",9
"Agricultural_Sciences","Denmark","fem","10-14","HG",12
"Agricultural_Sciences","Denmark","fem","10-14","TP",7
"Agricultural_Sciences","Denmark","mal","10-14","BT",15
"Agricultural_Sciences","Denmark","mal","10-14","LW",9
"Agricultural_Sciences","Denmark","mal","10-14","ML",6
"Agricultural_Sciences","Denmark","mal","10-14","MH",11
"Agricultural_Sciences","Denmark","mal","10-14","HG",15
"Agricultural_Sciences","Denmark","mal","10-14","TP",14
"Agricultural_Sciences","Denmark","unkn","10-14","BT",3
"Agricultural_Sciences","Denmark","unkn","10-14","LW",2
"Agricultural_Sciences","Denmark","unkn","10-14","ML",2
"Agricultural_Sciences","Dominican Republic","mal","10-14","MH",1
"Agricultural_Sciences","Ecuador","fem","10-14","BT",2
"Agricultural_Sciences","Ecuador","fem","10-14","LW",2
"Agricultural_Sciences","Ecuador","fem","10-14","MH",2
"Agricultural_Sciences","Ecuador","fem","10-14","TP",1
"Agricultural_Sciences","Ecuador","mal","10-14","BT",5
"Agricultural_Sciences","Ecuador","mal","10-14","LW",3
"Agricultural_Sciences","Ecuador","mal","10-14","ML",3
"Agricultural_Sciences","Ecuador","mal","10-14","MH",1
"Agricultural_Sciences","Ecuador","mal","10-14","HG",1
"Agricultural_Sciences","Egypt","fem","10-14","BT",13
"Agricultural_Sciences","Egypt","fem","10-14","LW",15
"Agricultural_Sciences","Egypt","fem","10-14","ML",5
"Agricultural_Sciences","Egypt","fem","10-14","MH",7
"Agricultural_Sciences","Egypt","fem","10-14","HG",6
"Agricultural_Sciences","Egypt","fem","10-14","TP",7
"Agricultural_Sciences","Egypt","mal","10-14","BT",41
"Agricultural_Sciences","Egypt","mal","10-14","LW",30
"Agricultural_Sciences","Egypt","mal","10-14","ML",16
"Agricultural_Sciences","Egypt","mal","10-14","MH",21
"Agricultural_Sciences","Egypt","mal","10-14","HG",24
"Agricultural_Sciences","Egypt","mal","10-14","TP",18
"Agricultural_Sciences","Egypt","unkn","10-14","BT",14
"Agricultural_Sciences","Egypt","unkn","10-14","LW",9
"Agricultural_Sciences","Egypt","unkn","10-14","MH",2
"Agricultural_Sciences","Egypt","unkn","10-14","HG",3
"Agricultural_Sciences","Egypt","unkn","10-14","TP",2
"Agricultural_Sciences","Estonia","fem","10-14","BT",2
"Agricultural_Sciences","Estonia","fem","10-14","ML",1
"Agricultural_Sciences","Estonia","fem","10-14","HG",1
"Agricultural_Sciences","Estonia","mal","10-14","BT",1
"Agricultural_Sciences","Eswatini","mal","10-14","BT",3
"Agricultural_Sciences","Eswatini","mal","10-14","LW",1
"Agricultural_Sciences","Ethiopia","fem","10-14","BT",1
"Agricultural_Sciences","Ethiopia","fem","10-14","LW",1
"Agricultural_Sciences","Ethiopia","fem","10-14","ML",1
"Agricultural_Sciences","Ethiopia","fem","10-14","MH",1
"Agricultural_Sciences","Ethiopia","fem","10-14","HG",1
"Agricultural_Sciences","Ethiopia","fem","10-14","TP",1
"Agricultural_Sciences","Ethiopia","mal","10-14","BT",7
"Agricultural_Sciences","Ethiopia","mal","10-14","LW",3
"Agricultural_Sciences","Ethiopia","mal","10-14","ML",5
"Agricultural_Sciences","Ethiopia","mal","10-14","MH",3
"Agricultural_Sciences","Ethiopia","mal","10-14","HG",4
"Agricultural_Sciences","Ethiopia","mal","10-14","TP",3
"Agricultural_Sciences","Ethiopia","unkn","10-14","BT",3
"Agricultural_Sciences","Ethiopia","unkn","10-14","LW",1
"Agricultural_Sciences","Ethiopia","unkn","10-14","MH",2
"Agricultural_Sciences","Fiji","mal","10-14","MH",1
"Agricultural_Sciences","Finland","fem","10-14","BT",14
"Agricultural_Sciences","Finland","fem","10-14","LW",6
"Agricultural_Sciences","Finland","fem","10-14","ML",9
"Agricultural_Sciences","Finland","fem","10-14","MH",4
"Agricultural_Sciences","Finland","fem","10-14","HG",3
"Agricultural_Sciences","Finland","fem","10-14","TP",1
"Agricultural_Sciences","Finland","mal","10-14","BT",15
"Agricultural_Sciences","Finland","mal","10-14","LW",6
"Agricultural_Sciences","Finland","mal","10-14","ML",8
"Agricultural_Sciences","Finland","mal","10-14","MH",2
"Agricultural_Sciences","Finland","mal","10-14","HG",4
"Agricultural_Sciences","Finland","mal","10-14","TP",3
"Agricultural_Sciences","Finland","unkn","10-14","BT",2
"Agricultural_Sciences","Finland","unkn","10-14","LW",1
"Agricultural_Sciences","Finland","unkn","10-14","ML",1
"Agricultural_Sciences","Finland","unkn","10-14","HG",1
"Agricultural_Sciences","France","fem","10-14","BT",52
"Agricultural_Sciences","France","fem","10-14","LW",20
"Agricultural_Sciences","France","fem","10-14","ML",30
"Agricultural_Sciences","France","fem","10-14","MH",22
"Agricultural_Sciences","France","fem","10-14","HG",17
"Agricultural_Sciences","France","fem","10-14","TP",11
"Agricultural_Sciences","France","mal","10-14","BT",76
"Agricultural_Sciences","France","mal","10-14","LW",32
"Agricultural_Sciences","France","mal","10-14","ML",41
"Agricultural_Sciences","France","mal","10-14","MH",24
"Agricultural_Sciences","France","mal","10-14","HG",25
"Agricultural_Sciences","France","mal","10-14","TP",34
"Agricultural_Sciences","France","unkn","10-14","BT",22
"Agricultural_Sciences","France","unkn","10-14","LW",6
"Agricultural_Sciences","France","unkn","10-14","ML",3
"Agricultural_Sciences","France","unkn","10-14","MH",1
"Agricultural_Sciences","Gabon","mal","10-14","HG",1
"Agricultural_Sciences","Gambia","fem","10-14","HG",1
"Agricultural_Sciences","Gambia","mal","10-14","ML",2
"Agricultural_Sciences","Gambia","mal","10-14","HG",1
"Agricultural_Sciences","Gambia","unkn","10-14","BT",1
"Agricultural_Sciences","Germany","fem","10-14","BT",81
"Agricultural_Sciences","Germany","fem","10-14","LW",44
"Agricultural_Sciences","Germany","fem","10-14","ML",26
"Agricultural_Sciences","Germany","fem","10-14","MH",24
"Agricultural_Sciences","Germany","fem","10-14","HG",20
"Agricultural_Sciences","Germany","fem","10-14","TP",18
"Agricultural_Sciences","Germany","mal","10-14","BT",121
"Agricultural_Sciences","Germany","mal","10-14","LW",81
"Agricultural_Sciences","Germany","mal","10-14","ML",23
"Agricultural_Sciences","Germany","mal","10-14","MH",31
"Agricultural_Sciences","Germany","mal","10-14","HG",37
"Agricultural_Sciences","Germany","mal","10-14","TP",39
"Agricultural_Sciences","Germany","unkn","10-14","BT",12
"Agricultural_Sciences","Germany","unkn","10-14","LW",7
"Agricultural_Sciences","Germany","unkn","10-14","ML",1
"Agricultural_Sciences","Germany","unkn","10-14","MH",1
"Agricultural_Sciences","Germany","unkn","10-14","HG",3
"Agricultural_Sciences","Germany","unkn","10-14","TP",3
"Agricultural_Sciences","Ghana","fem","10-14","ML",1
"Agricultural_Sciences","Ghana","fem","10-14","MH",1
"Agricultural_Sciences","Ghana","fem","10-14","HG",1
"Agricultural_Sciences","Ghana","mal","10-14","BT",8
"Agricultural_Sciences","Ghana","mal","10-14","LW",11
"Agricultural_Sciences","Ghana","mal","10-14","ML",6
"Agricultural_Sciences","Ghana","mal","10-14","MH",3
"Agricultural_Sciences","Ghana","mal","10-14","HG",4
"Agricultural_Sciences","Ghana","mal","10-14","TP",3
"Agricultural_Sciences","Ghana","unkn","10-14","BT",4
"Agricultural_Sciences","Ghana","unkn","10-14","HG",1
"Agricultural_Sciences","Greece","fem","10-14","BT",17
"Agricultural_Sciences","Greece","fem","10-14","LW",7
"Agricultural_Sciences","Greece","fem","10-14","ML",7
"Agricultural_Sciences","Greece","fem","10-14","MH",2
"Agricultural_Sciences","Greece","fem","10-14","HG",1
"Agricultural_Sciences","Greece","fem","10-14","TP",1
"Agricultural_Sciences","Greece","mal","10-14","BT",15
"Agricultural_Sciences","Greece","mal","10-14","LW",12
"Agricultural_Sciences","Greece","mal","10-14","ML",7
"Agricultural_Sciences","Greece","mal","10-14","MH",9
"Agricultural_Sciences","Greece","mal","10-14","HG",9
"Agricultural_Sciences","Greece","mal","10-14","TP",6
"Agricultural_Sciences","Greece","unkn","10-14","BT",3
"Agricultural_Sciences","Greece","unkn","10-14","LW",3
"Agricultural_Sciences","Greece","unkn","10-14","MH",1
"Agricultural_Sciences","Guinea","fem","10-14","ML",1
"Agricultural_Sciences","Hungary","fem","10-14","BT",14
"Agricultural_Sciences","Hungary","fem","10-14","LW",10
"Agricultural_Sciences","Hungary","fem","10-14","ML",11
"Agricultural_Sciences","Hungary","fem","10-14","MH",3
"Agricultural_Sciences","Hungary","fem","10-14","HG",6
"Agricultural_Sciences","Hungary","fem","10-14","TP",2
"Agricultural_Sciences","Hungary","mal","10-14","BT",30
"Agricultural_Sciences","Hungary","mal","10-14","LW",19
"Agricultural_Sciences","Hungary","mal","10-14","ML",21
"Agricultural_Sciences","Hungary","mal","10-14","MH",12
"Agricultural_Sciences","Hungary","mal","10-14","HG",6
"Agricultural_Sciences","Hungary","mal","10-14","TP",8
"Agricultural_Sciences","Hungary","unkn","10-14","BT",9
"Agricultural_Sciences","Hungary","unkn","10-14","LW",3
"Agricultural_Sciences","Hungary","unkn","10-14","ML",3
"Agricultural_Sciences","Hungary","unkn","10-14","HG",2
"Agricultural_Sciences","Hungary","unkn","10-14","TP",1
"Agricultural_Sciences","Iceland","mal","10-14","BT",1
"Agricultural_Sciences","India","fem","10-14","BT",102
"Agricultural_Sciences","India","fem","10-14","LW",52
"Agricultural_Sciences","India","fem","10-14","ML",50
"Agricultural_Sciences","India","fem","10-14","MH",28
"Agricultural_Sciences","India","fem","10-14","HG",40
"Agricultural_Sciences","India","fem","10-14","TP",23
"Agricultural_Sciences","India","mal","10-14","BT",260
"Agricultural_Sciences","India","mal","10-14","LW",149
"Agricultural_Sciences","India","mal","10-14","ML",108
"Agricultural_Sciences","India","mal","10-14","MH",97
"Agricultural_Sciences","India","mal","10-14","HG",105
"Agricultural_Sciences","India","mal","10-14","TP",108
"Agricultural_Sciences","India","unkn","10-14","BT",354
"Agricultural_Sciences","India","unkn","10-14","LW",169
"Agricultural_Sciences","India","unkn","10-14","ML",108
"Agricultural_Sciences","India","unkn","10-14","MH",66
"Agricultural_Sciences","India","unkn","10-14","HG",57
"Agricultural_Sciences","India","unkn","10-14","TP",32
"Agricultural_Sciences","Indonesia","fem","10-14","BT",11
"Agricultural_Sciences","Indonesia","fem","10-14","LW",7
"Agricultural_Sciences","Indonesia","fem","10-14","ML",6
"Agricultural_Sciences","Indonesia","fem","10-14","MH",2
"Agricultural_Sciences","Indonesia","fem","10-14","HG",2
"Agricultural_Sciences","Indonesia","fem","10-14","TP",4
"Agricultural_Sciences","Indonesia","mal","10-14","BT",17
"Agricultural_Sciences","Indonesia","mal","10-14","LW",5
"Agricultural_Sciences","Indonesia","mal","10-14","ML",8
"Agricultural_Sciences","Indonesia","mal","10-14","MH",8
